Postcode,Latitude,Longitude,Easting,Northing,Grid reference,Active?
SE1 0PL,51.502582,-0.096712,532200,179900,TQ322798,No
SE1 0PN,51.505236,-0.09676,532189,180195,TQ321801,Yes
SE1 0PP,51.502582,-0.096712,532200,179900,TQ322798,No
SE1 0PQ,51.504426,-0.099517,532000,180100,TQ320800,No
SE1 0PR,51.492762,-0.080152,533378,178838,TQ333788,No
SE1 0PS,51.492762,-0.080152,533378,178838,TQ333788,No
SE1 0PT,51.502722,-0.105352,531600,179900,TQ315798,No
SE1 0PU,51.502722,-0.105352,531600,179900,TQ315798,No
SE1 0PW,51.502689,-0.101088,531896,179904,TQ318799,No
SE1 0PX,51.505236,-0.09676,532189,180195,TQ321801,No
SE1 0PY,51.502948,-0.104276,531674,179927,TQ316799,Yes
SE1 0PZ,51.502705,-0.102615,531790,179903,TQ317799,Yes
SE1 0QA,51.502451,-0.103058,531760,179874,TQ317798,Yes
SE1 0QB,51.50242,-0.103895,531702,179869,TQ317798,Yes
SE1 0QD,51.500855,-0.101107,531900,179700,TQ318796,No
